Level;Name;ShortCode;Description;Uri;BroaderConcept
2;performing administrative activities;S4.4;"Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence,  and ensuring administrative systems, processes and databases are efficient.
Excludes:
- Record and process information";http://data.europa.eu/esco/skill/f306bf2a-271d-4059-ba7b-e83849cb8960;management skills
3;performing general clerical and administrative tasks;S4.4.3;"Performing general clerical and administrative tasks such as collecting mail and organising documents, not involving administration of human resources, execution of financial transactions, or processing and transforming information or data.
Examples:
- perform clerical duties";http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85;performing administrative activities
3;administering human resources;S4.4.1;"Performing administrative and clerical tasks concerned with human resource administration.
Examples:
- Manage payroll";http://data.europa.eu/esco/skill/966246a4-6e72-4c60-be46-7cd61ba46942;performing administrative activities
3;performing administrative activities;S4.4.0;"Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence,  and ensuring administrative systems, processes and databases are efficient.
Excludes:
- Record and process information";http://data.europa.eu/esco/skill/b309d4f5-56f5-41c6-b712-92d1ed85b965;performing administrative activities
3;executing financial transactions;S4.4.2;"Executing financial or commercial transactions such as issuing invoices for sales or issuing purchase orders.
Examples:
- issue sales invoices
- operate cash register
- issue purchase order";http://data.europa.eu/esco/skill/c20ac175-3aab-4aaa-9b9e-784c2dfb59cd;performing administrative activities
1;working with machinery and specialised equipment;S8;"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.
Excludes:
- Interacting with computers";http://data.europa.eu/esco/skill/9b8bb484-dcba-49af-8ae0-cfe8b6e9ed45;
2;installing, maintaining and repairing mechanical equipment;S8.7;"Installing, maintaining and repairing stationary and mobile mechanical equipment, components and devices.
Excludes:
- Installing, maintaining and repairing mechatronic or robotic equipment and components";http://data.europa.eu/esco/skill/02208098-ee91-4df0-8581-5c1a04d8fe0a;working with machinery and specialised equipment
3;installing, maintaining and repairing mechanical equipment;S8.7.0;"Installing, maintaining and repairing stationary and mobile mechanical equipment, components and devices.
Excludes:
- Installing, maintaining and repairing mechatronic or robotic equipment and components";http://data.europa.eu/esco/skill/03efa398-a1cc-4589-9c10-84bf10f8d42d;installing, maintaining and repairing mechanical equipment
3;repairing and installing mechanical equipment;S8.7.1;"Repairing, dismantling, reassembling and installing stationary and mobile mechanical equipment, components and devices.
Examples:
- Repair engines
- Repair vessel mechanical systems
- Install mining machinery";http://data.europa.eu/esco/skill/0b8d15c9-7b4f-4163-b863-fe5b756d3e7f;installing, maintaining and repairing mechanical equipment
3;maintaining mechanical equipment and tools;S8.7.2;"Performing maintenance of mechanical equipment, tools and devices to ensure optimal functioning.
Examples:
- Maintain farm equipment
- Prevent pipeline deterioration
";http://data.europa.eu/esco/skill/45ce91d6-574f-445e-a3d5-741f89bddb56;installing, maintaining and repairing mechanical equipment
3;maintaining mechanical machinery;S8.7.3;"Performing maintenance of mechanical machinery and its functional components to ensure optimal functioning.
nan";http://data.europa.eu/esco/skill/a9703c5e-7fef-40d8-8fed-e5b31cc76818;installing, maintaining and repairing mechanical equipment
2;operating machinery for the extraction and processing of raw materials;S8.4;"Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the extraction or processing of raw materials.
Excludes:
- Operating centralized process control equipment";http://data.europa.eu/esco/skill/2198d7a0-6eca-4795-b877-98a19064e61a;working with machinery and specialised equipment
3;operating wood processing and papermaking machinery;S8.4.6;"Operating machinery for processing wood and timber, and for production of wood pulp and paper.
Examples:
- Operate wood chipper
- Operate pulper
- Make paper slurry";http://data.europa.eu/esco/skill/06769591-b8cf-46b2-b1d3-6602b1cf440e;operating machinery for the extraction and processing of raw materials
3;operating metal processing and finishing machinery;S8.4.2;"Operating and tending machinery for the processing and fabrication and finishing of metals and metal stock.
Excludes:
- Operating furnaces and smelters

Examples:
- Tend anodising machine
- Tend hot rolling mill
- Tend thread rolling machine";http://data.europa.eu/esco/skill/151bd6ca-74be-47bb-9dab-9c7387114006;operating machinery for the extraction and processing of raw materials
3;operating machinery for the extraction and processing of raw materials;S8.4.0;"Operating and monitoring various types of mechanically-controlled or computer-controlled stationary machinery for the extraction or processing of raw materials.
Excludes:
- Operating centralized process control equipment";http://data.europa.eu/esco/skill/3f1f77a5-9c2d-4b71-afb3-0328d8cbb05e;operating machinery for the extraction and processing of raw materials
3;operating pumping systems or equipment;S8.4.3;"Operating machinery and equipment for pumping liquids.
Examples:
- Operate hydraulic pumps
- Operate latex transfer pump";http://data.europa.eu/esco/skill/79f3d574-fcf2-445e-a087-cc774f19b861;operating machinery for the extraction and processing of raw materials
3;operating energy production or distribution equipment;S8.4.4;"Operating turbines, generators, boilers or power plants to generate rotary motion, electricity and heat. Operating energy transmission systems.
Examples:
- Operate gas turbines
- Operate ship propulsion system";http://data.europa.eu/esco/skill/8bf9699c-f964-4e4b-ac3d-55aface09cbc;operating machinery for the extraction and processing of raw materials
3;operating mining, drilling and mineral processing machinery;S8.4.1;"Operating machinery for the extraction and processing of rocks and minerals, or for drilling and boring wells and tunnels.
Excludes:
- Operating mobile earthmoving and transportation equipment
- Operating hand-held and bench drills

Examples:
- Drive tunnel boring machine
- Operate continuous miner
- Operate core drilling equipment
- Tend stone splitting machine";http://data.europa.eu/esco/skill/a96b31dd-d72a-4c89-8947-524f14a16f82;operating machinery for the extraction and processing of raw materials
3;operating kilns, furnaces and drying equipment;S8.4.7;"Operating, monitoring and adjusting the controls of equipment for heating or drying materials and products at high temperatures, such as kilns or furnaces.
Excludes:
- Operation of ovens for cooking food and machines for drying textiles and garments

Examples:
- Control gas-fired furnace for malt roasting
- Operate smelter
- Operate waste incinerator
- Prepare kiln firebox";http://data.europa.eu/esco/skill/bdf2aa76-360d-429d-a967-bdb691f241fa;operating machinery for the extraction and processing of raw materials
